time,speed,hasAeroForce,hasRollingForce,hasGravityForce,hasAcceleration,hasAccelerationForce,hasTotalForce,hasPower,P_EB,P_PB,P_conv,I_EB,I_PB,I_load,I_prime,SOC_EB,SOC_PB,SOC_HESS,power_balance_error,SOC_EB_raw,SOC_PB_raw,P_EB_from_current,P_PB_from_current,error_P_EB_current,error_P_PB_current,SOC_HESS_calculated,SOC_HESS_error
11,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20,0.0,0.0,109.87,0.0,0.19,266.0,375.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21,0.1944444444444444,0.02,109.87,0.0,0.39,546.0,655.89,138.62,138.62,0.0,14.6013,0.308,0.0,0.3443,0.0363,1.0,1.0,1.0,0.0,1.0,1.0,138.6,0.0,0.020000000000010232,0.0,1.0,0.0
22,0.5833333333333334,0.17,109.88,0.0,1.97,2758.0,2868.05,1818.51,1818.51,-0.0,191.5497,4.0411,-0.0,4.5169,0.4758,0.999997,1.0,0.999998,0.0,0.999997,1.0,1818.4950000000001,-0.0,0.01499999999987267,0.0,0.9999975367044758,4.6329552427781806e-07
23,2.555555555555555,3.3,110.02,0.0,1.78,2492.0,2605.32,7237.0,7237.0,-0.0,762.2973,16.0822,-0.0,17.9757,1.8934,0.99996,1.0,0.999967,0.0,0.99996,1.0,7236.99,-0.0,0.010000000000218279,0.0,0.9999671560596778,-1.5605967773613116e-07
24,4.333333333333333,9.49,110.28,0.0,1.17,1638.0,1757.77,8279.35,8279.35,-0.0,872.0915,18.3986,-0.0,20.5647,2.1661,0.999814,1.0,0.999847,0.0,0.999814,1.0,8279.369999999999,-0.0,-0.019999999998617568,0.0,0.9998472756775016,-2.7567750160439886e-07
25,5.5,15.29,110.54,0.0,0.0,0.0,125.83,752.24,752.24,-0.0,79.2359,1.6716,-0.0,1.8685,0.1968,0.999646,1.0,0.999709,0.0,0.999646,1.0,752.22,-0.0,0.01999999999998181,0.0,0.9997093311281481,-3.3112814812330527e-07
26,5.5,15.29,110.54,0.0,0.81,1134.0,1259.83,7531.59,7531.59,-0.0,793.3275,16.7369,-0.0,18.7074,1.9705,0.999631,1.0,0.999697,0.0,0.999631,1.0,7531.605,-0.0,-0.014999999999417923,0.0,0.9996970146505273,-1.4650527346837805e-08
27,6.305555555555555,20.09,110.75,0.0,0.78,1092.0,1222.84,8381.18,8381.18,0.0,882.8176,18.6248,0.0,20.8176,2.1928,0.999478,1.0,0.999571,0.0,0.999478,1.0,8381.16,0.0,0.020000000000436557,0.0,0.9995713865787946,-3.865787946422117e-07
28,7.083333333333333,25.35,110.97,0.0,1.19,1666.0,1802.32,13876.55,12600.0,1276.55,1327.2,28.0,3.1708,34.4673,3.2966,0.999308,1.0,0.999432,-6.821210263296962e-13,0.999308,1.0,12600.0,1276.56408,0.0,-0.014080000000149084,0.999431799832425,2.001675749596643e-07
29,8.277777777777779,34.62,111.38,0.0,1.17,1638.0,1784.0,16051.7,12600.0,3451.7,1327.2,28.0,8.5735,39.8701,3.2966,0.999053,0.999881,0.999201,9.094947017729282e-13,0.999053,0.999881,12600.0,3451.6911,0.0,0.00889999999981228,0.9992011304353295,-1.3043532953727066e-07
30,9.444444444444445,45.07,111.83,0.0,0.81,1134.0,1290.9,13251.99,12600.0,651.99,1327.2,28.0,1.6194,32.916,3.2966,0.998798,0.99956,0.998934,-2.2737367544323206e-13,0.998798,0.99956,12600.0,651.97044,0.0,0.019559999999955835,0.9989343229368611,-3.229368611412653e-07
31,10.25,53.09,112.18,0.0,0.39,546.0,711.27,7924.48,7924.48,0.0,834.7119,17.61,0.0,19.6833,2.0733,0.998542,0.9995,0.998714,0.0,0.998542,0.9995,7924.5,0.0,-0.020000000000436557,0.0,0.9987133876292822,6.123707178007365e-07
32,10.63888888888889,57.19,112.36,0.0,0.58,812.0,981.55,11350.65,11350.65,0.0,1195.6018,25.2237,0.0,28.1934,2.9697,0.998382,0.9995,0.998582,0.0,0.998382,0.9995,11350.665,0.0,-0.015000000001236913,0.0,0.998582011867993,-1.1867993032765867e-08
33,11.22222222222222,63.64,112.64,0.0,0.78,1092.0,1268.28,15470.57,12600.0,2870.57,1327.2,28.0,7.1301,38.4267,3.2966,0.998152,0.9995,0.998393,-4.547473508864641e-13,0.998152,0.9995,12600.0,2870.5782600000002,0.0,-0.008260000000063883,0.9983931592111405,-1.5921114049355367e-07
34,12.0,72.77,113.04,0.0,0.81,1134.0,1319.81,17214.91,12600.0,4614.91,1327.2,28.0,11.4628,42.7593,3.2966,0.997897,0.999233,0.998136,0.0,0.997897,0.999233,12600.0,4614.92328,0.0,-0.013280000000122527,0.998136012393237,-1.2393236992203072e-08
35,12.80555555555556,82.86,113.48,0.0,0.0,0.0,196.34,2732.87,2732.87,-0.0,287.8623,6.073,-0.0,6.7881,0.715,0.997641,0.998804,0.997849,0.0,0.997641,0.998804,2732.8500000000004,-0.0,0.019999999999527063,0.0,0.9978490624351306,-6.243513062109685e-08
36,12.80555555555556,82.86,113.48,0.0,0.0,0.0,196.34,2732.87,2732.87,-0.0,287.8623,6.073,-0.0,6.7881,0.715,0.997586,0.998804,0.997804,0.0,0.997586,0.998804,2732.8500000000004,-0.0,0.019999999999527063,0.0,0.9978039020171875,9.798281253026175e-08
37,12.80555555555556,82.86,113.48,0.0,-0.42,-588.0,-391.66,-4614.19,-4614.19,0.0,-486.028,-10.2538,0.0,-11.461,-1.2072,0.997531,0.998804,0.997758,0.0,0.997531,0.998804,-4614.21,0.0,0.020000000000436557,0.0,0.9977587415992444,-7.415992443471353e-07
38,12.38888888888889,77.56,113.24,0.0,0.42,588.0,778.8,10487.47,10487.47,0.0,1104.6802,23.3055,0.0,26.0494,2.7439,0.997624,0.998804,0.997835,0.0,0.997624,0.998804,10487.474999999999,0.0,-0.004999999999199645,0.0,0.9978351037604937,-1.0376049364158035e-07
39,12.80555555555556,82.86,113.48,0.0,0.58,812.0,1008.34,14035.16,12600.0,1435.16,1327.2,28.0,3.5647,34.8613,3.2966,0.997412,0.998804,0.997661,-2.2737367544323206e-13,0.997412,0.998804,12600.0,1435.1482200000003,0.0,0.011779999999816937,0.9976610308767857,-3.0876785683808805e-08
40,13.38888888888889,90.58,113.81,0.0,0.19,266.0,470.39,6845.65,6845.65,-0.0,721.0751,15.2126,-0.0,17.0036,1.791,0.997156,0.99867,0.997427,0.0,0.997156,0.99867,6845.67,-0.0,-0.020000000000436557,0.0,0.997426856858803,1.431411970065355e-07
41,13.58333333333333,93.23,113.93,0.0,-0.19,-266.0,-58.84,-735.3,-735.3,-0.0,-77.4516,-1.634,-0.0,-1.8264,-0.1924,0.997018,0.99867,0.997313,0.0,0.997018,0.99867,-735.3,-0.0,0.0,0.0,0.9973135452646912,-5.452646911763281e-07
42,13.38888888888889,90.58,113.81,0.0,-0.39,-546.0,-341.61,-4207.88,-4207.88,0.0,-443.23,-9.3508,0.0,-10.4518,-1.1009,0.997032,0.99867,0.997325,0.0,0.997032,0.99867,-4207.86,0.0,-0.020000000000436557,0.0,0.997325040643804,-4.064380398904888e-08
43,13.0,85.4,113.59,0.0,-0.61,-854.0,-655.01,-7833.92,-6300.0,-1533.92,-663.6,-14.0,-3.81,-19.4583,-1.6483,0.997118,0.99867,0.997395,0.0,0.997118,0.99867,-6300.0,-1533.9060000000002,0.0,-0.013999999999896318,0.9973956551154968,-6.551154967393558e-07
44,12.38888888888889,77.56,113.24,0.0,-0.58,-812.0,-621.2,-7080.3,-6300.0,-780.3,-663.6,-14.0,-1.9382,-17.5864,-1.6483,0.997245,0.998813,0.997526,-2.2737367544323206e-13,0.997245,0.998813,-6300.0,-780.3193200000001,0.0,0.01932000000010703,0.9975255175393678,4.82460632222903e-07
45,11.80555555555556,70.43,112.93,0.0,-0.19,-266.0,-82.64,-897.56,-897.56,-0.0,-94.543,-1.9946,-0.0,-2.2294,-0.2348,0.997373,0.998885,0.997644,0.0,0.997373,0.998885,-897.5699999999999,-0.0,0.009999999999990905,0.0,0.997643499055819,5.009441810255311e-07
46,11.61111111111111,68.13,112.83,0.0,-0.19,-266.0,-85.04,-908.42,-908.42,0.0,-95.6869,-2.0187,0.0,-2.2564,-0.2377,0.997391,0.998885,0.997659,0.0,0.997391,0.998885,-908.415,0.0,-0.0049999999999954525,0.0,0.9976582788289641,7.211710358889789e-07
47,11.41666666666667,65.86,112.74,0.0,-0.39,-546.0,-367.4,-3858.92,-3858.92,-0.0,-406.4729,-8.5754,-0.0,-9.585,-1.0096,0.99741,0.998885,0.997674,0.0,0.99741,0.998885,-3858.93,-0.0,0.009999999999763531,0.0,0.9976738797006172,1.2029938278868002e-07
48,11.02777777777778,61.45,112.54,0.0,-1.0,-1400.0,-1226.01,-12438.56,-6300.0,-6138.56,-663.6,-14.0,-15.2473,-30.8956,-1.6483,0.997488,0.998885,0.997738,9.094947017729282e-13,0.997488,0.998885,-6300.0,-6138.56298,0.0,0.0029799999992974335,0.9977379253842455,7.461575446399138e-08
49,10.02777777777778,50.81,112.08,0.0,-0.39,-546.0,-383.11,-3534.4,-3534.4,0.0,-372.2901,-7.8542,0.0,-8.7789,-0.9247,0.997615,0.999456,0.997945,0.0,0.997615,0.999456,-3534.39,0.0,-0.010000000000218279,0.0,0.9979443576466684,6.423533315258467e-07
50,9.63888888888889,46.95,111.91,0.0,0.0,0.0,158.86,1664.38,1664.38,0.0,175.3147,3.6986,0.0,4.1341,0.4355,0.997687,0.999456,0.998004,0.0,0.997687,0.999456,1664.37,0.0,0.010000000000218279,0.0,0.9980034767392486,5.232607513949716e-07
51,9.63888888888889,46.95,111.91,0.0,0.61,854.0,1012.86,10611.79,10611.79,0.0,1117.7752,23.5818,0.0,26.3581,2.7764,0.997653,0.999456,0.997976,0.0,0.997653,0.999456,10611.810000000001,0.0,-0.020000000000436557,0.0,0.9979755593899746,4.406100253540046e-07
52,10.25,53.09,112.18,0.0,-0.22,-308.0,-142.73,-1345.94,-1345.94,-0.0,-141.7723,-2.991,-0.0,-3.3431,-0.3521,0.997438,0.999456,0.997799,0.0,0.997438,0.999456,-1345.95,-0.0,0.009999999999990905,0.0,0.9977990232107428,-2.3210742772228343e-08
53,10.02777777777778,50.81,112.08,0.0,0.0,0.0,162.89,1775.46,1775.46,-0.0,187.0151,3.9455,-0.0,4.41,0.4645,0.997466,0.999456,0.997822,0.0,0.997466,0.999456,1775.475,-0.0,-0.01499999999987267,0.0,0.9978220139689681,-1.3968968093358569e-08
54,10.02777777777778,50.81,112.08,0.0,-0.39,-546.0,-383.11,-3534.4,-3534.4,0.0,-372.2901,-7.8542,0.0,-8.7789,-0.9247,0.99743,0.999456,0.997792,0.0,0.99743,0.999456,-3534.39,0.0,-0.010000000000218279,0.0,0.997792454422678,-4.5442267804229886e-07
55,9.63888888888889,46.95,111.91,0.0,-0.58,-812.0,-653.14,-5791.9,-5791.9,0.0,-610.0801,-12.8709,0.0,-14.3862,-1.5154,0.997501,0.999456,0.997851,0.0,0.997501,0.999456,-5791.905000000001,0.0,0.005000000001018634,0.0,0.99785075241675,2.475832500126174e-07
56,9.055555555555555,41.44,111.67,0.0,-0.97,-1358.0,-1204.89,-10038.07,-6300.0,-3738.07,-663.6,-14.0,-9.2848,-24.9331,-1.6483,0.997619,0.999456,0.997947,4.547473508864641e-13,0.997619,0.999456,-6300.0,-3738.0604800000006,0.0,-0.009519999999611173,0.9979476420407007,-6.420407007157181e-07
57,8.083333333333334,33.02,111.31,0.0,-1.39,-1946.0,-1801.67,-13398.42,-6300.0,-7098.42,-663.6,-14.0,-17.6314,-33.2797,-1.6483,0.997746,0.999804,0.998114,0.0,0.997746,0.999804,-6300.0,-7098.40164,0.0,-0.018360000000029686,0.9981141792704203,-1.792704203973372e-07
58,6.694444444444445,22.65,110.86,0.0,-0.97,-1358.0,-1224.49,-7541.5,-6300.0,-1241.5,-663.6,-14.0,-3.0837,-18.732,-1.6483,0.997874,1.0,0.998254,0.0,0.997874,1.0,-6300.0,-1241.49762,0.0,-0.002379999999902793,0.9982543445718726,-3.4457187259029354e-07
59,5.722222222222222,16.55,110.59,0.0,-1.39,-1946.0,-1818.86,-9575.29,-6300.0,-3275.29,-663.6,-14.0,-8.1353,-23.7836,-1.6483,0.998002,1.0,0.998359,-9.094947017729282e-13,0.998002,1.0,-6300.0,-3275.2717800000005,0.0,-0.018219999999473657,0.9983594451809036,-4.451809035854737e-07
60,4.333333333333333,9.49,110.28,0.0,-1.19,-1666.0,-1546.23,-6164.3,-6164.3,0.0,-649.3063,-13.6984,0.0,-15.3112,-1.6128,0.998129,1.0,0.998464,0.0,0.998129,1.0,-6164.28,0.0,-0.020000000000436557,0.0,0.9984637246914269,2.753085731610483e-07
61,3.138888888888889,4.98,110.09,0.0,-0.58,-812.0,-696.93,-2012.58,-2012.58,-0.0,-211.9918,-4.4724,-0.0,-4.999,-0.5266,0.998254,1.0,0.998566,0.0,0.998254,1.0,-2012.5800000000002,-0.0,2.2737367544323206e-13,0.0,0.9985663620049339,-3.6200493391813637e-07
62,2.555555555555555,3.3,110.02,0.0,0.0,0.0,113.32,314.78,314.78,-0.0,33.1568,0.6995,-0.0,0.7819,0.0824,0.998295,1.0,0.9986,0.0,0.998295,1.0,314.775,-0.0,0.0049999999999954525,0.0,0.9986000270437642,-2.7043764116996272e-08
63,2.555555555555555,3.3,110.02,0.0,0.0,0.0,113.32,314.78,314.78,-0.0,33.1568,0.6995,-0.0,0.7819,0.0824,0.998288,1.0,0.998595,0.0,0.998288,1.0,314.775,-0.0,0.0049999999999954525,0.0,0.9985942793542076,7.206457923736309e-07
64,2.555555555555555,3.3,110.02,0.0,0.19,266.0,379.32,1053.66,1053.66,0.0,110.9855,2.3415,0.0,2.6171,0.2757,0.998282,1.0,0.998589,0.0,0.998282,1.0,1053.675,0.0,-0.01499999999987267,0.0,0.9985893527631595,-3.527631595723335e-07
65,2.75,3.82,110.04,0.0,0.19,266.0,379.86,1135.46,1135.46,0.0,119.6018,2.5232,0.0,2.8203,0.2971,0.998261,1.0,0.998572,0.0,0.998261,1.0,1135.44,0.0,0.01999999999998181,0.0,0.9985721096944902,-1.0969449015796329e-07
66,2.944444444444444,4.38,110.06,0.0,0.39,546.0,660.44,2113.73,2113.73,-0.0,222.6462,4.6972,-0.0,5.2502,0.553,0.998238,1.0,0.998553,0.0,0.998238,1.0,2113.74,-0.0,-0.009999999999763531,0.0,0.998553224428805,-2.2442880498463325e-07
67,3.333333333333333,5.61,110.12,0.0,-0.19,-266.0,-150.27,-460.83,-460.83,0.0,-48.5408,-1.0241,0.0,-1.1446,-0.1206,0.998195,1.0,0.998518,0.0,0.998195,1.0,-460.845,0.0,0.015000000000043201,0.0,0.9985179171929587,8.280704133500905e-08
68,3.138888888888889,4.98,110.09,0.0,-0.97,-1358.0,-1242.93,-3589.31,-3589.31,-0.0,-378.074,-7.9762,-0.0,-8.9153,-0.9391,0.998204,1.0,0.998526,0.0,0.998204,1.0,-3589.29,-0.0,-0.01999999999998181,0.0,0.998525307079531,6.929204690031554e-07
69,2.166666666666667,2.37,109.98,0.0,-1.78,-2492.0,-2379.65,-4743.44,-4743.44,-0.0,-499.6423,-10.541,-0.0,-11.782,-1.241,0.998277,1.0,0.998585,0.0,0.998277,1.0,-4743.45,-0.0,0.010000000000218279,0.0,0.998585247270619,-2.472706190914664e-07
70,0.3888888888888888,0.08,109.88,0.0,-0.39,-546.0,-436.04,-156.0,-156.0,-0.0,-16.432,-0.3467,-0.0,-0.3875,-0.0408,0.998373,1.0,0.998664,0.0,0.998373,1.0,-156.01500000000001,-0.0,0.01500000000001478,0.0,0.9986640727273925,-7.272739255270722e-08
71,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
72,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
73,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
74,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
75,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
76,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
77,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
78,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
79,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
80,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
81,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
82,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
83,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
84,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
85,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
86,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
87,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
88,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
89,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
90,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
91,0.0,0.0,109.87,0.0,0.0,0.0,109.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
92,0.0,0.0,109.87,0.0,0.19,266.0,375.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998376,1.0,0.998667,0.0,0.998376,1.0,0.0,0.0,0.0,0.0,0.9986665360229167,4.639770833092527e-07
93,0.1944444444444444,0.02,109.87,0.0,0.39,546.0,655.89,138.62,138.62,0.0,14.6013,0.308,0.0,0.3443,0.0363,0.998376,1.0,0.998667,0.0,0.998376,1.0,138.6,0.0,0.020000000000010232,0.0,0.9986665360229167,4.639770833092527e-07
94,0.5833333333333334,0.17,109.88,0.0,1.97,2758.0,2868.05,1818.51,1818.51,-0.0,191.5497,4.0411,-0.0,4.5169,0.4758,0.998373,1.0,0.998664,0.0,0.998373,1.0,1818.4950000000001,-0.0,0.01499999999987267,0.0,0.9986640727273925,-7.272739255270722e-08
95,2.555555555555555,3.3,110.02,0.0,1.78,2492.0,2605.32,7237.0,7237.0,-0.0,762.2973,16.0822,-0.0,17.9757,1.8934,0.998337,1.0,0.998634,0.0,0.998337,1.0,7236.99,-0.0,0.010000000000218279,0.0,0.9986345131811026,-5.131811026126698e-07
96,4.333333333333333,9.49,110.28,0.0,1.17,1638.0,1757.77,8279.35,8279.35,-0.0,872.0915,18.3986,-0.0,20.5647,2.1661,0.99819,1.0,0.998514,0.0,0.99819,1.0,8279.369999999999,-0.0,-0.019999999998617568,0.0,0.9985138117004184,1.8829958159383153e-07
97,5.5,15.29,110.54,0.0,0.0,0.0,125.83,752.24,752.24,-0.0,79.2359,1.6716,-0.0,1.8685,0.1968,0.998022,1.0,0.998376,0.0,0.998022,1.0,752.22,-0.0,0.01999999999998181,0.0,0.9983758671510647,1.3284893529696973e-07
98,5.5,15.29,110.54,0.0,0.81,1134.0,1259.83,7531.59,7531.59,-0.0,793.3275,16.7369,-0.0,18.7074,1.9705,0.998007,1.0,0.998364,0.0,0.998007,1.0,7531.605,-0.0,-0.014999999999417923,0.0,0.9983635506734441,4.493265559624149e-07
99,6.305555555555555,20.09,110.75,0.0,0.78,1092.0,1222.84,8381.18,8381.18,0.0,882.8176,18.6248,0.0,20.8176,2.1928,0.997854,1.0,0.998238,0.0,0.997854,1.0,8381.16,0.0,0.020000000000436557,0.0,0.9982379226017114,7.739828855601871e-08
