coorige tout et redonne speed,time
12.13888888888889,2613.0
11.027777777777779,2614.0
9.86111111111111,2615.0
8.63888888888889,2616.0
7.305555555555555,2617.0
6.083333333333333,2618.0
5.0,2619.0
4.722222222222222,2620.0
5.0,2621.0
5.944444444444444,2622.0
6.888888888888889,2623.0
7.749999999999999,2624.0
8.555555555555555,2625.0
9.166666666666666,2626.0
9.75,2627.0
10.305555555555555,2628.0
10.805555555555555,2629.0
11.5,2630.0
12.222222222222221,2631.0
12.86111111111111,2632.0
13.25,2633.0
13.38888888888889,2634.0
13.527777777777779,2635.0
13.694444444444443,2636.0
13.833333333333332,2637.0
13.944444444444445,2638.0
14.138888888888888,2639.0
14.388888888888888,2640.0
14.583333333333332,2641.0
14.805555555555554,2642.0
15.13888888888889,2643.0
15.472222222222223,2644.0
15.694444444444445,2645.0
15.777777777777777,2646.0
15.833333333333332,2647.0
15.88888888888889,2648.0
16.02777777777778,2649.0
16.305555555555557,2650.0
16.694444444444443,2651.0
16.97222222222222,2652.0
17.13888888888889,2653.0
17.305555555555554,2654.0
17.47222222222222,2655.0
17.583333333333332,2656.0
17.61111111111111,2657.0
17.63888888888889,2658.0
17.916666666666668,2659.0
18.277777777777775,2660.0
18.555555555555554,2661.0
18.722222222222225,2662.0
19.11111111111111,2663.0
19.749999999999996,2664.0
20.083333333333332,2665.0
20.22222222222222,2666.0
20.38888888888889,2667.0
20.72222222222222,2668.0
21.11111111111111,2669.0
21.277777777777775,2670.0
21.25,2671.0
21.166666666666668,2672.0
21.055555555555554,2673.0
20.944444444444446,2674.0
20.777777777777775,2675.0
20.52777777777778,2676.0
20.194444444444446,2677.0
19.805555555555554,2678.0
19.555555555555557,2679.0
19.444444444444443,2680.0
19.444444444444443,2681.0
19.166666666666668,2682.0
18.88888888888889,2683.0
18.88888888888889,2684.0
18.88888888888889,2685.0
18.916666666666664,2686.0
19.0,2687.0
19.055555555555554,2688.0
19.083333333333332,2689.0
19.02777777777778,2690.0
18.916666666666664,2691.0
18.694444444444443,2692.0
18.38888888888889,2693.0
18.0,2694.0
17.666666666666668,2695.0
17.38888888888889,2696.0
17.25,2697.0
17.194444444444443,2698.0
17.194444444444443,2699.0
17.166666666666664,2700.0
17.083333333333332,2701.0
16.916666666666664,2702.0
16.583333333333332,2703.0
15.166666666666666,2704.0
13.694444444444443,2705.0
12.472222222222221,2706.0
11.749999999999998,2707.0
11.5,2708.0
11.472222222222221,2709.0
11.694444444444445,2710.0
12.416666666666668,2711.0
13.444444444444443,2712.0
14.277777777777777,2713.0
14.63888888888889,2714.0
15.0,2715.0
15.833333333333332,2716.0
16.13888888888889,2717.0
16.444444444444446,2718.0
16.38888888888889,2719.0
16.416666666666668,2720.0
16.52777777777778,2721.0
16.805555555555554,2722.0
17.305555555555554,2723.0
17.75,2724.0
18.083333333333332,2725.0
17.805555555555554,2726.0
17.416666666666668,2727.0
17.22222222222222,2728.0
17.027777777777775,2729.0
16.916666666666664,2730.0
16.805555555555554,2731.0
16.72222222222222,2732.0
16.61111111111111,2733.0
16.5,2734.0
16.27777777777778,2735.0
15.972222222222221,2736.0
15.722222222222221,2737.0
15.555555555555555,2738.0
15.416666666666666,2739.0
15.277777777777777,2740.0
15.11111111111111,2741.0
15.027777777777779,2742.0
15.0,2743.0
14.972222222222221,2744.0
14.972222222222221,2745.0
15.0,2746.0
15.055555555555555,2747.0
15.277777777777777,2748.0
15.499999999999998,2749.0
15.61111111111111,2750.0
15.583333333333334,2751.0
15.305555555555555,2752.0
14.63888888888889,2753.0
13.444444444444443,2754.0
11.972222222222223,2755.0
10.499999999999998,2756.0
9.027777777777777,2757.0
7.555555555555555,2758.0
6.972222222222222,2759.0
7.222222222222222,2760.0
8.13888888888889,2761.0
9.61111111111111,2762.0
11.222222222222221,2763.0
12.583333333333332,2764.0
13.61111111111111,2765.0
14.194444444444445,2766.0
14.472222222222221,2767.0
14.5,2768.0
14.472222222222221,2769.0
14.36111111111111,2770.0
14.138888888888888,2771.0
13.666666666666668,2772.0
12.75,2773.0
11.277777777777779,2774.0
9.805555555555555,2775.0
8.333333333333334,2776.0
6.861111111111111,2777.0
5.361111111111112,2778.0
4.444444444444445,2779.0
3.6666666666666665,2780.0
2.972222222222222,2781.0
2.4444444444444446,2782.0
2.0,2783.0
1.5277777777777777,2784.0
0.888888888888889,2785.0
0.3055555555555556,2786.0
0.0,2787.0
0.0,2788.0
0.0,2789.0
0.0,2790.0
0.0,2791.0
0.0,2792.0
0.0,2793.0
0.0,2794.0
0.0,2795.0
0.0,2796.0
0.0,2797.0
0.0,2798.0
0.0,2799.0
0.0,2800.0
0.0,2801.0
0.0,2802.0
0.0,2803.0
0.0,2804.0
0.0,2805.0
0.0,2806.0
0.0,2807.0
0.0,2808.0
0.0,2809.0
0.0,2810.0
0.0,2811.0
0.0,2812.0
0.0,2813.0
0.0,2814.0
0.0,2815.0
0.0,2816.0
0.0,2817.0
0.0,2818.0
0.0,2819.0
0.0,2820.0
0.0,2821.0
0.0,2822.0
0.0,2823.0
0.0,2824.0
0.0,2825.0
0.0,2826.0
0.0,2827.0
0.22222222222222224,2828.0
1.0,2829.0
2.388888888888889,2830.0
4.055555555555555,2831.0
5.555555555555555,2832.0
6.777777777777777,2833.0
7.833333333333333,2834.0
8.805555555555555,2835.0
9.722222222222221,2836.0
10.444444444444445,2837.0
11.027777777777779,2838.0
11.527777777777777,2839.0
12.11111111111111,2840.0
12.777777777777777,2841.0
13.444444444444443,2842.0
14.027777777777777,2843.0
14.416666666666666,2844.0
14.61111111111111,2845.0
14.666666666666666,2846.0
14.694444444444443,2847.0
14.75,2848.0
14.805555555555554,2849.0
14.75,2850.0
14.527777777777777,2851.0
14.083333333333334,2852.0
13.555555555555554,2853.0
12.916666666666666,2854.0
12.166666666666666,2855.0
11.194444444444443,2856.0
10.0,2857.0
8.527777777777777,2858.0
7.055555555555555,2859.0
5.833333333333333,2860.0
4.638888888888888,2861.0
3.7222222222222223,2862.0
3.333333333333333,2863.0
3.3611111111111107,2864.0
3.555555555555556,2865.0
4.333333333333333,2866.0
5.527777777777778,2867.0
6.499999999999999,2868.0
6.833333333333334,2869.0
7.0,2870.0
7.333333333333333,2871.0
8.0,2872.0
8.833333333333334,2873.0
9.805555555555555,2874.0
10.972222222222221,2875.0
12.36111111111111,2876.0
13.694444444444443,2877.0
14.805555555555554,2878.0
15.666666666666666,2879.0
16.36111111111111,2880.0
17.0,2881.0
17.38888888888889,2882.0
17.5,2883.0
17.36111111111111,2884.0
16.916666666666664,2885.0
16.47222222222222,2886.0
16.27777777777778,2887.0
16.27777777777778,2888.0
16.305555555555557,2889.0
16.333333333333332,2890.0
16.333333333333332,2891.0
16.333333333333332,2892.0
16.416666666666668,2893.0
16.694444444444443,2894.0
17.13888888888889,2895.0
17.5,2896.0
17.694444444444446,2897.0
17.75,2898.0
17.63888888888889,2899.0
17.305555555555554,2900.0
16.75,2901.0
16.36111111111111,2902.0
16.22222222222222,2903.0
16.333333333333332,2904.0
16.72222222222222,2905.0
17.305555555555554,2906.0
17.75,2907.0
17.916666666666668,2908.0
17.88888888888889,2909.0
17.63888888888889,2910.0
17.22222222222222,2911.0
17.0,2912.0
17.027777777777775,2913.0
17.38888888888889,2914.0
18.13888888888889,2915.0
18.88888888888889,2916.0
19.27777777777778,2917.0
19.36111111111111,2918.0
19.25,2919.0
18.916666666666664,2920.0
18.583333333333336,2921.0
18.38888888888889,2922.0
18.25,2923.0
18.02777777777778,2924.0
17.555555555555557,2925.0
16.75,2926.0
15.499999999999998,2927.0
14.027777777777777,2928.0
12.555555555555555,2929.0
11.13888888888889,2930.0
10.055555555555555,2931.0
9.138888888888888,2932.0
8.277777777777779,2933.0
7.388888888888889,2934.0
6.388888888888888,2935.0
5.388888888888888,2936.0
4.527777777777778,2937.0
4.055555555555555,2938.0
3.944444444444444,2939.0
3.9722222222222223,2940.0
4.055555555555555,2941.0
4.194444444444445,2942.0
4.555555555555555,2943.0
5.305555555555556,2944.0
6.25,2945.0
6.777777777777777,2946.0
6.888888888888889,2947.0
6.305555555555555,2948.0
4.833333333333333,2949.0
3.8333333333333335,2950.0
3.333333333333333,2951.0
3.333333333333333,2952.0
3.333333333333333,2953.0
3.861111111111111,2954.0
5.222222222222222,2955.0
6.972222222222222,2956.0
8.277777777777779,2957.0
9.388888888888888,2958.0
10.611111111111112,2959.0
12.055555555555555,2960.0
13.583333333333332,2961.0
14.944444444444443,2962.0
16.055555555555554,2963.0
17.083333333333332,2964.0
18.055555555555554,2965.0
19.0,2966.0
19.888888888888886,2967.0
20.27777777777778,2968.0
20.63888888888889,2969.0
21.166666666666668,2970.0
21.63888888888889,2971.0
22.083333333333332,2972.0
22.5,2973.0
22.86111111111111,2974.0
23.194444444444443,2975.0
23.499999999999996,2976.0
23.75,2977.0
23.97222222222222,2978.0
24.194444444444443,2979.0
24.47222222222222,2980.0
24.749999999999996,2981.0
25.027777777777775,2982.0
25.27777777777778,2983.0
25.47222222222222,2984.0
25.638888888888886,2985.0
25.777777777777775,2986.0
25.861111111111107,2987.0
25.861111111111107,2988.0
25.861111111111107,2989.0
25.861111111111107,2990.0
25.861111111111107,2991.0
25.861111111111107,2992.0
25.861111111111107,2993.0
25.861111111111107,2994.0
25.861111111111107,2995.0
25.861111111111107,2996.0
25.88888888888889,2997.0
25.88888888888889,2998.0
25.916666666666664,2999.0
26.02777777777778,3000.0
26.166666666666668,3001.0
26.38888888888889,3002.0
26.61111111111111,3003.0
26.77777777777778,3004.0
26.888888888888886,3005.0
26.944444444444443,3006.0
26.97222222222222,3007.0
27.0,3008.0
27.027777777777775,3009.0
27.055555555555557,3010.0
27.055555555555557,3011.0
27.055555555555557,3012.0
27.055555555555557,3013.0
27.027777777777775,3014.0
27.027777777777775,3015.0
27.027777777777775,3016.0
27.027777777777775,3017.0
27.0,3018.0
26.97222222222222,3019.0
26.944444444444443,3020.0
26.916666666666668,3021.0
26.86111111111111,3022.0
26.77777777777778,3023.0
26.694444444444443,3024.0
26.583333333333332,3025.0
26.52777777777778,3026.0
26.47222222222222,3027.0
26.444444444444443,3028.0
26.38888888888889,3029.0
26.36111111111111,3030.0
26.305555555555557,3031.0
26.25,3032.0
26.22222222222222,3033.0
26.22222222222222,3034.0
26.194444444444443,3035.0
26.194444444444443,3036.0
26.138888888888886,3037.0
26.083333333333336,3038.0
25.944444444444446,3039.0
25.777777777777775,3040.0
25.555555555555554,3041.0
25.36111111111111,3042.0
25.166666666666664,3043.0
25.0,3044.0
24.805555555555554,3045.0
24.63888888888889,3046.0
24.47222222222222,3047.0
24.27777777777778,3048.0
24.083333333333332,3049.0
23.88888888888889,3050.0
23.694444444444443,3051.0
23.52777777777778,3052.0
23.36111111111111,3053.0
23.194444444444443,3054.0
23.02777777777778,3055.0
22.86111111111111,3056.0
22.694444444444446,3057.0
22.527777777777775,3058.0
22.36111111111111,3059.0
22.194444444444446,3060.0
22.055555555555557,3061.0
21.944444444444443,3062.0
21.86111111111111,3063.0
21.86111111111111,3064.0
21.88888888888889,3065.0
21.97222222222222,3066.0
22.055555555555557,3067.0
22.11111111111111,3068.0
22.166666666666664,3069.0
22.166666666666664,3070.0
22.11111111111111,3071.0
22.027777777777775,3072.0
21.916666666666668,3073.0
21.805555555555554,3074.0
21.72222222222222,3075.0
21.63888888888889,3076.0
21.583333333333332,3077.0
21.583333333333332,3078.0
21.61111111111111,3079.0
21.63888888888889,3080.0
21.694444444444443,3081.0
21.75,3082.0
21.75,3083.0
21.77777777777778,3084.0
21.77777777777778,3085.0
21.77777777777778,3086.0
21.72222222222222,3087.0
21.666666666666668,3088.0
21.583333333333332,3089.0
21.47222222222222,3090.0
21.36111111111111,3091.0
21.277777777777775,3092.0
21.166666666666668,3093.0
21.02777777777778,3094.0
20.88888888888889,3095.0
20.75,3096.0
20.666666666666668,3097.0
20.63888888888889,3098.0
20.666666666666668,3099.0
20.72222222222222,3100.0
20.805555555555557,3101.0
20.86111111111111,3102.0
20.916666666666664,3103.0
20.97222222222222,3104.0
21.055555555555554,3105.0
21.083333333333336,3106.0
21.11111111111111,3107.0
21.11111111111111,3108.0
